time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,-1.998382,-2.465593,0.491129,-0.009937,0.016613,0.002122,0.411303,-0.730560,0.024977,-13.578582,18.720623,-0.128260,344.970355,-368.519796,0.469860,0.999990,0.003235,-0.002686,0.001819,-0.003516,-0.011650,0.001841
0.010000,-1.998463,-2.465460,0.491151,-0.006447,0.010184,0.002366,0.291877,-0.560886,0.023718,-10.393096,15.301472,-0.123608,293.045311,-316.173681,0.460607,0.999989,0.003218,-0.002711,0.001819,-0.003454,-0.005498,0.000291
0.020000,-1.998514,-2.465384,0.491176,-0.004001,0.005290,0.002597,0.201800,-0.422871,0.022505,-7.699776,12.380299,-0.119050,246.490210,-268.882655,0.450880,0.999989,0.003201,-0.002739,0.001821,-0.003407,-0.001556,-0.000701
0.030000,-1.998545,-2.465350,0.491203,-0.002329,0.001637,0.002816,0.136415,-0.311785,0.021336,-5.446331,9.907802,-0.114592,205.023342,-226.396836,0.440725,0.999989,0.003184,-0.002766,0.001822,-0.003372,0.000831,-0.001301
0.040000,-1.998562,-2.465348,0.491232,-0.001205,-0.001021,0.003024,0.091573,-0.223376,0.020212,-3.583287,7.837178,-0.110237,168.363000,-188.466339,0.430187,0.999989,0.003167,-0.002786,0.001821,-0.003344,0.002161,-0.001633
0.050000,-1.998570,-2.465368,0.491264,-0.000441,-0.002893,0.003221,0.063604,-0.153850,0.019131,-2.063988,6.124124,-0.105989,136.227474,-154.841284,0.419312,0.999989,0.003150,-0.002797,0.001819,-0.003321,0.002807,-0.001793
0.060000,-1.998572,-2.465404,0.491297,0.000113,-0.004150,0.003407,0.049294,-0.099841,0.018092,-0.844594,4.726834,-0.101851,108.335056,-125.271786,0.408144,0.999990,0.003133,-0.002795,0.001813,-0.003301,0.003039,-0.001848
0.070000,-1.998569,-2.465449,0.491332,0.000581,-0.004932,0.003583,0.045850,-0.058392,0.017094,0.115917,3.606002,-0.097827,84.404038,-99.507963,0.396729,0.999990,0.003117,-0.002782,0.001804,-0.003283,0.003047,-0.001845
0.080000,-1.998560,-2.465501,0.491368,0.001058,-0.005351,0.003749,0.050877,-0.026923,0.016135,0.855752,2.724822,-0.093917,64.152709,-77.299933,0.385113,0.999990,0.003101,-0.002764,0.001794,-0.003266,0.002954,-0.001818
0.090000,-1.998547,-2.465556,0.491407,0.001620,-0.005496,0.003905,0.062347,-0.003211,0.015215,1.410298,2.048984,-0.090125,47.299362,-58.397813,0.373339,0.999990,0.003084,-0.002744,0.001784,-0.003250,0.002838,-0.001783
0.100000,-1.998527,-2.465610,0.491446,0.002321,-0.005435,0.004053,0.078574,0.014635,0.014332,1.812127,1.546679,-0.086451,33.562289,-42.551720,0.361454,0.999990,0.003068,-0.002728,0.001774,-0.003233,0.002739,-0.001754
0.110000,-1.998500,-2.465664,0.491488,0.003202,-0.005218,0.004192,0.098180,0.028203,0.013486,2.090993,1.188596,-0.082896,22.659779,-29.511771,0.349503,0.999990,0.003052,-0.002714,0.001766,-0.003216,0.002674,-0.001732
0.120000,-1.998463,-2.465714,0.491530,0.004292,-0.004881,0.004323,0.120074,0.038798,0.012674,2.273832,0.947923,-0.079461,14.310125,-19.028083,0.337531,0.999990,0.003036,-0.002701,0.001757,-0.003199,0.002645,-0.001719
0.130000,-1.998413,-2.465761,0.491574,0.005609,-0.004448,0.004446,0.143418,0.047471,0.011896,2.384766,0.800346,-0.076146,8.231618,-10.850775,0.325583,0.999990,0.003020,-0.002687,0.001748,-0.003182,0.002642,-0.001714
0.140000,-1.998350,-2.465803,0.491619,0.007163,-0.003935,0.004561,0.167601,0.055043,0.011151,2.445096,0.724052,-0.072949,4.142549,-4.729962,0.313705,0.999990,0.003004,-0.002674,0.001740,-0.003165,0.002654,-0.001711
0.150000,-1.998269,-2.465839,0.491665,0.008962,-0.003349,0.004669,0.192213,0.062125,0.010437,2.473309,0.699725,-0.069871,1.761209,-0.415763,0.301941,0.999990,0.002988,-0.002660,0.001731,-0.003148,0.002670,-0.001710
0.160000,-1.998170,-2.465870,0.491712,0.011008,-0.002692,0.004770,0.217013,0.069154,0.009753,2.485074,0.710548,-0.066910,0.805891,2.341705,0.290338,0.999991,0.002973,-0.002647,0.001722,-0.003132,0.002680,-0.001708
0.170000,-1.998048,-2.465893,0.491761,0.013303,-0.001965,0.004864,0.241903,0.076406,0.009098,2.493241,0.742203,-0.064064,0.994884,3.792325,0.278939,0.999991,0.002957,-0.002634,0.001714,-0.003115,0.002678,-0.001702
0.180000,-1.997903,-2.465909,0.491810,0.015846,-0.001163,0.004952,0.266899,0.084028,0.008471,2.507847,0.782871,-0.061330,2.046481,4.185980,0.267792,0.999991,0.002941,-0.002620,0.001705,-0.003098,0.002663,-0.001693
0.190000,-1.997731,-2.465916,0.491860,0.018641,-0.000283,0.005034,0.292105,0.092062,0.007871,2.536107,0.823232,-0.058707,3.678972,3.772553,0.256940,0.999991,0.002926,-0.002607,0.001697,-0.003082,0.002636,-0.001681
0.200000,-1.997529,-2.465914,0.491910,0.021690,0.000679,0.005109,0.317682,0.100468,0.007297,2.582423,0.856465,-0.056190,5.610649,2.801926,0.246429,0.999991,0.002911,-0.002594,0.001689,-0.003066,0.002603,-0.001668
0.210000,-1.997296,-2.465902,0.491962,0.024971,0.001746,0.005180,0.344779,0.108457,0.006747,2.736774,0.814124,-0.053796,5.327127,3.143575,0.236785,0.999991,0.002895,-0.002581,0.001680,-0.003050,0.002590,-0.001660
0.220000,-1.997029,-2.465879,0.492014,0.028557,0.002872,0.005244,0.372408,0.116758,0.006221,2.788669,0.846181,-0.051475,5.052762,3.229473,0.227514,0.999991,0.002880,-0.002568,0.001672,-0.003033,0.002577,-0.001652
0.230000,-1.996724,-2.465844,0.492067,0.032421,0.004082,0.005304,0.400543,0.125380,0.005717,2.837832,0.878032,-0.049244,4.779235,3.111184,0.218602,0.999991,0.002865,-0.002556,0.001664,-0.003017,0.002564,-0.001643
0.240000,-1.996379,-2.465797,0.492120,0.036569,0.005380,0.005359,0.429155,0.134312,0.005235,2.884229,0.907895,-0.047102,4.498226,2.840273,0.210035,0.999991,0.002850,-0.002543,0.001656,-0.003001,0.002551,-0.001635
0.250000,-1.995992,-2.465736,0.492174,0.041006,0.006769,0.005409,0.458218,0.143527,0.004775,2.927744,0.934501,-0.045043,4.201415,2.468306,0.201800,0.999991,0.002835,-0.002530,0.001648,-0.002985,0.002538,-0.001627
0.260000,-1.995558,-2.465661,0.492228,0.045734,0.008256,0.005454,0.487747,0.152840,0.004334,2.972526,0.943431,-0.043064,3.770632,2.392018,0.193862,0.999992,0.002820,-0.002517,0.001639,-0.002970,0.002525,-0.001619
0.270000,-1.995076,-2.465571,0.492283,0.050760,0.009832,0.005496,0.517654,0.162392,0.003913,3.007997,0.966798,-0.041164,3.320860,2.275538,0.186231,0.999992,0.002805,-0.002505,0.001631,-0.002954,0.002513,-0.001611
0.280000,-1.994542,-2.465464,0.492338,0.056088,0.011504,0.005533,0.547892,0.172172,0.003511,3.038897,0.988838,-0.039338,2.857228,2.128164,0.178896,0.999992,0.002791,-0.002492,0.001623,-0.002938,0.002500,-0.001603
0.290000,-1.993953,-2.465341,0.492394,0.061719,0.013276,0.005566,0.578416,0.182164,0.003126,3.065113,1.009289,-0.037585,2.384870,1.959196,0.171845,0.999992,0.002776,-0.002480,0.001615,-0.002923,0.002487,-0.001595
0.300000,-1.993307,-2.465198,0.492449,0.067657,0.015148,0.005595,0.609178,0.192351,0.002759,3.086583,1.027981,-0.035900,1.908916,1.777932,0.165067,0.999992,0.002761,-0.002467,0.001607,-0.002907,0.002475,-0.001587
0.310000,-1.992599,-2.465037,0.492505,0.073904,0.017124,0.005621,0.640119,0.202689,0.002408,3.102159,1.042218,-0.034282,1.463220,1.659858,0.158534,0.999992,0.002747,-0.002455,0.001599,-0.002892,0.002462,-0.001579
0.320000,-1.991828,-2.464856,0.492562,0.080460,0.019203,0.005643,0.671207,0.213192,0.002073,3.114575,1.058218,-0.032728,1.020675,1.539983,0.152254,0.999992,0.002732,-0.002443,0.001592,-0.002877,0.002450,-0.001571
0.330000,-1.990989,-2.464653,0.492618,0.087328,0.021388,0.005663,0.702396,0.223849,0.001753,3.122588,1.073015,-0.031236,0.582894,1.419501,0.146218,0.999992,0.002718,-0.002431,0.001584,-0.002861,0.002437,-0.001563
0.340000,-1.990080,-2.464428,0.492675,0.094508,0.023681,0.005679,0.733644,0.234648,0.001448,3.126254,1.086610,-0.029803,0.151491,1.299608,0.140415,0.999992,0.002704,-0.002418,0.001576,-0.002846,0.002425,-0.001555
0.350000,-1.989098,-2.464179,0.492732,0.102001,0.026082,0.005692,0.764907,0.245577,0.001157,3.125645,1.099013,-0.028427,-0.271918,1.181497,0.134838,0.999992,0.002690,-0.002406,0.001568,-0.002831,0.002413,-0.001548
0.360000,-1.988039,-2.463906,0.492789,0.109806,0.028593,0.005702,0.796138,0.256620,0.000879,3.120383,1.109848,-0.027105,-0.673971,1.076514,0.129463,0.999992,0.002676,-0.002394,0.001560,-0.002816,0.002400,-0.001540
0.370000,-1.986901,-2.463607,0.492846,0.117924,0.031215,0.005709,0.827301,0.267771,0.000615,3.111674,1.120100,-0.025836,-1.066241,0.974462,0.124297,0.999992,0.002661,-0.002382,0.001553,-0.002801,0.002388,-0.001532
0.380000,-1.985680,-2.463281,0.492903,0.126352,0.033949,0.005714,0.858359,0.279019,0.000362,3.099091,1.129347,-0.024618,-1.448552,0.875290,0.119331,0.999992,0.002647,-0.002370,0.001545,-0.002786,0.002376,-0.001525
0.390000,-1.984373,-2.462927,0.492960,0.135090,0.036795,0.005717,0.889271,0.290354,0.000122,3.082736,1.137615,-0.023449,-1.820728,0.778953,0.114559,0.999993,0.002634,-0.002359,0.001538,-0.002771,0.002364,-0.001517
0.400000,-1.982977,-2.462545,0.493017,0.144137,0.039756,0.005717,0.920001,0.301768,-0.000107,3.062711,1.144935,-0.022327,-2.182594,0.685402,0.109971,0.999993,0.002620,-0.002347,0.001530,-0.002757,0.002352,-0.001509
0.410000,-1.981489,-2.462132,0.493074,0.153490,0.042831,0.005714,0.950512,0.313250,-0.000325,3.039026,1.151309,-0.021249,-2.531601,0.595188,0.105551,0.999993,0.002606,-0.002335,0.001522,-0.002742,0.002340,-0.001502
0.420000,-1.979906,-2.461688,0.493132,0.163146,0.046021,0.005710,0.980770,0.324791,-0.000532,3.012008,1.156821,-0.020214,-2.870237,0.507591,0.101303,0.999993,0.002592,-0.002323,0.001515,-0.002728,0.002328,-0.001494
0.430000,-1.978225,-2.461211,0.493189,0.173104,0.049327,0.005704,1.010741,0.336383,-0.000729,2.981655,1.161469,-0.019222,-3.198616,0.422488,0.097220,0.999993,0.002579,-0.002312,0.001507,-0.002713,0.002317,-0.001487
0.440000,-1.976443,-2.460701,0.493246,0.183360,0.052749,0.005696,1.040392,0.348018,-0.000916,2.948069,1.165278,-0.018270,-3.516853,0.339758,0.093297,0.999993,0.002565,-0.002300,0.001500,-0.002699,0.002305,-0.001479
0.450000,-1.974557,-2.460156,0.493303,0.193911,0.056287,0.005686,1.069692,0.359686,-0.001094,2.911351,1.168272,-0.017356,-3.825063,0.259281,0.089526,0.999993,0.002552,-0.002289,0.001493,-0.002684,0.002293,-0.001472
0.460000,-1.972564,-2.459574,0.493359,0.204753,0.059943,0.005674,1.098609,0.371381,-0.001264,2.871596,1.170488,-0.016478,-4.123234,0.180509,0.085893,0.999993,0.002538,-0.002277,0.001485,-0.002670,0.002282,-0.001465
0.470000,-1.970461,-2.458956,0.493416,0.215882,0.063715,0.005660,1.127114,0.383093,-0.001424,2.828914,1.171908,-0.015637,-4.411622,0.103799,0.082402,0.999993,0.002525,-0.002266,0.001478,-0.002656,0.002270,-0.001457
0.480000,-1.968245,-2.458300,0.493473,0.227293,0.067605,0.005645,1.155178,0.394816,-0.001576,2.783396,1.172570,-0.014830,-4.690359,0.029079,0.079047,0.999993,0.002512,-0.002255,0.001471,-0.002642,0.002258,-0.001450
0.490000,-1.965914,-2.457604,0.493529,0.238984,0.071611,0.005629,1.182773,0.406542,-0.001721,2.735138,1.172496,-0.014055,-4.959574,-0.043720,0.075824,0.999993,0.002499,-0.002243,0.001464,-0.002628,0.002247,-0.001443
0.500000,-1.963464,-2.456867,0.493585,0.250947,0.075736,0.005611,1.209872,0.418264,-0.001858,2.684236,1.171702,-0.013313,-5.219399,-0.114668,0.072727,0.999993,0.002486,-0.002232,0.001456,-0.002614,0.002236,-0.001436
0.510000,-1.960894,-2.456089,0.493641,0.263179,0.079977,0.005592,1.236449,0.429974,-0.001987,2.630787,1.170219,-0.012600,-5.470113,-0.184108,0.069743,0.999993,0.002472,-0.002221,0.001449,-0.002600,0.002224,-0.001428
0.520000,-1.958200,-2.455267,0.493697,0.275674,0.084335,0.005571,1.262480,0.441666,-0.002110,2.574871,1.168038,-0.011917,-5.711678,-0.251803,0.066876,0.999993,0.002460,-0.002210,0.001442,-0.002586,0.002213,-0.001421
