time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.299262,-0.215002,-1.466506,-0.006306,0.001986,0.005250,0.230063,-0.047729,-0.030983,7.941464,-1.694578,-1.235646,-307.183607,61.711495,26.712877,-0.004849,-0.023374,0.000000,-0.171445,-0.803595,-0.000000
0.010000,-3.299325,-0.214982,-1.466453,-0.004006,0.001509,0.004940,0.309478,-0.064675,-0.043339,4.869628,-1.077463,-0.968517,-614.452512,128.094630,66.684467,-0.006560,-0.031398,0.000000,-0.108546,-0.490629,-0.000000
0.020000,-3.299342,-0.214972,-1.466407,-0.000117,0.000693,0.004383,0.327456,-0.069278,-0.050353,-4.347586,0.867314,0.098044,-686.192159,151.147790,85.427037,-0.007022,-0.033197,0.000000,0.087735,0.440089,-0.000000
0.030000,-3.299327,-0.214969,-1.466366,0.002544,0.000123,0.003933,0.222526,-0.047328,-0.041378,-8.854215,1.945492,0.740024,-76.099679,31.215428,17.636796,-0.004803,-0.022585,0.000000,0.196971,0.896615,-0.000000
0.040000,-3.299291,-0.214970,-1.466329,0.004334,-0.000254,0.003556,0.150372,-0.030368,-0.035552,-5.869580,1.491623,0.450780,270.961866,-41.157910,-26.505711,-0.003084,-0.015272,0.000000,0.151314,0.595325,-0.000000
0.050000,-3.299240,-0.214974,-1.466295,0.005551,-0.000484,0.003222,0.105135,-0.017496,-0.032363,-3.434978,1.122334,0.209910,219.417193,-33.244075,-21.953635,-0.001777,-0.010681,0.000000,0.113980,0.348731,-0.000000
0.060000,-3.299180,-0.214979,-1.466264,0.006437,-0.000604,0.002908,0.081672,-0.007921,-0.031354,-1.481236,0.826741,0.011707,174.568871,-26.383630,-17.954208,-0.000805,-0.008299,0.000000,0.084002,0.150491,0.000000
0.070000,-3.299112,-0.214986,-1.466237,0.007184,-0.000642,0.002595,0.075510,-0.000961,-0.032128,0.056399,0.594662,-0.149175,135.974933,-20.506312,-14.471338,-0.000098,-0.007672,0.000000,0.060420,-0.005614,-0.000000
0.080000,-3.299036,-0.214992,-1.466212,0.007947,-0.000623,0.002266,0.082800,0.003972,-0.034338,1.238263,0.416615,-0.277720,103.193460,-15.541854,-11.468941,0.000403,-0.008411,0.000000,0.042307,-0.125538,-0.000000
0.090000,-3.298953,-0.214998,-1.466191,0.008840,-0.000563,0.001908,0.100275,0.007371,-0.037683,2.120268,0.283824,-0.378553,75.782489,-11.419995,-8.910914,0.000748,-0.010182,0.000000,0.028790,-0.214893,-0.000000
0.100000,-3.298859,-0.215003,-1.466174,0.009952,-0.000476,0.001512,0.125205,0.009648,-0.041909,2.753912,0.188215,-0.455938,53.300057,-8.070472,-6.761147,0.000979,-0.012708,0.000000,0.019054,-0.278898,-0.000000
0.110000,-3.298754,-0.215008,-1.466161,0.011345,-0.000370,0.001070,0.155354,0.011136,-0.046802,3.186270,0.122415,-0.513776,35.304231,-5.423020,-4.983567,0.001130,-0.015760,0.000000,0.012353,-0.322354,0.000000
0.120000,-3.298633,-0.215011,-1.466153,0.013059,-0.000253,0.000576,0.188931,0.012097,-0.052184,3.459997,0.079755,-0.555609,21.352998,-3.407377,-3.542069,0.001226,-0.019155,0.000000,0.008008,-0.349627,0.000000
0.130000,-3.298493,-0.215013,-1.466149,0.015123,-0.000128,0.000026,0.224553,0.012731,-0.057914,3.613330,0.054267,-0.584618,11.004408,-1.953281,-2.400546,0.001290,-0.022752,0.000000,0.005411,-0.364632,-0.000000
0.140000,-3.298330,-0.215013,-1.466152,0.017550,0.000002,-0.000582,0.261197,0.013182,-0.063877,3.680085,0.040689,-0.603620,3.816723,-0.990453,-1.522956,0.001335,-0.026447,0.000000,0.004025,-0.370832,-0.000000
0.150000,-3.298142,-0.215013,-1.466161,0.020347,0.000135,-0.001251,0.298155,0.013545,-0.069986,3.689664,0.034458,-0.615077,-0.652177,-0.448643,-0.873171,0.001370,-0.030169,0.000000,0.003385,-0.371231,0.000000
0.160000,-3.297923,-0.215011,-1.466177,0.023514,0.000273,-0.001982,0.334991,0.013871,-0.076178,3.667042,0.031716,-0.621084,-2.844506,-0.257601,-0.415033,0.001402,-0.033872,0.000000,0.003101,-0.368374,0.000000
0.170000,-3.297671,-0.215007,-1.466201,0.027047,0.000413,-0.002775,0.371496,0.014179,-0.082408,3.632774,0.029306,-0.623377,-3.268169,-0.336694,-0.106884,0.001432,-0.037536,0.000000,0.002851,-0.364348,0.000000
0.180000,-3.297382,-0.215002,-1.466233,0.030943,0.000556,-0.003630,0.407646,0.014457,-0.088646,3.601678,0.024982,-0.623221,-3.522888,-0.434843,0.185821,0.001459,-0.041159,0.000000,0.002408,-0.360651,-0.000000
0.190000,-3.297052,-0.214996,-1.466273,0.035200,0.000702,-0.004548,0.443530,0.014678,-0.094872,3.562316,0.020610,-0.619661,-3.650469,-0.544321,0.465178,0.001480,-0.044749,0.000000,0.001962,-0.356137,-0.000000
0.200000,-3.296678,-0.214988,-1.466324,0.039814,0.000850,-0.005527,0.478893,0.014869,-0.101039,3.528669,0.014096,-0.613918,4.451154,-1.929084,0.040637,0.001499,-0.048282,0.000000,0.001302,-0.352218,-0.000000
0.210000,-3.296256,-0.214979,-1.466384,0.044778,0.000999,-0.006568,0.514103,0.014960,-0.107151,3.651339,-0.017972,-0.618848,19.424677,-4.375913,-0.973865,0.001507,-0.051793,0.000000,-0.001932,-0.363971,0.000000
0.220000,-3.295783,-0.214968,-1.466455,0.050096,0.001149,-0.007670,0.551919,0.014510,-0.113416,3.917162,-0.073422,-0.633395,16.326973,-3.988321,-0.458729,0.001460,-0.055561,0.000000,-0.007512,-0.389983,0.000000
0.230000,-3.295254,-0.214956,-1.466537,0.055816,0.001290,-0.008837,0.592446,0.013492,-0.119819,3.977879,-0.097739,-0.628023,-5.771310,-0.617238,1.659346,0.001356,-0.059593,0.000000,-0.009943,-0.395418,0.000000
0.240000,-3.294666,-0.214943,-1.466632,0.061945,0.001419,-0.010067,0.631477,0.012555,-0.125976,3.801736,-0.085767,-0.600208,-13.285293,0.493077,2.524057,0.001261,-0.063469,0.000000,-0.008721,-0.377260,-0.000000
0.250000,-3.294015,-0.214928,-1.466739,0.068446,0.001541,-0.011356,0.668481,0.011777,-0.131823,3.712173,-0.087877,-0.577542,-2.762278,-1.215165,1.871524,0.001182,-0.067138,0.000000,-0.008917,-0.367820,-0.000000
0.260000,-3.293297,-0.214912,-1.466859,0.075315,0.001654,-0.012703,0.705720,0.010798,-0.137527,3.746491,-0.110070,-0.562778,2.740231,-2.137949,1.657853,0.001083,-0.070826,0.000000,-0.011127,-0.370745,0.000000
0.270000,-3.292509,-0.214895,-1.466993,0.082560,0.001757,-0.014107,0.743411,0.009575,-0.143078,3.766977,-0.130636,-0.544385,0.112342,-1.731261,2.056527,0.000959,-0.074553,0.000000,-0.013168,-0.372311,0.000000
0.280000,-3.291646,-0.214877,-1.467141,0.090183,0.001846,-0.015565,0.781060,0.008185,-0.148415,3.748737,-0.144696,-0.521647,-2.730095,-1.226058,2.392144,0.000819,-0.078272,0.000000,-0.014552,-0.370054,0.000000
0.290000,-3.290705,-0.214858,-1.467304,0.098181,0.001920,-0.017075,0.818385,0.006681,-0.153511,3.712376,-0.155157,-0.496542,-3.728090,-1.022724,2.612111,0.000668,-0.081954,0.000000,-0.015574,-0.366034,0.000000
0.300000,-3.289683,-0.214838,-1.467482,0.106551,0.001979,-0.018635,0.855307,0.005082,-0.158346,3.674176,-0.165150,-0.469405,-3.916009,-0.988161,2.809205,0.000508,-0.085593,0.000000,-0.016546,-0.361880,-0.000000
0.310000,-3.288574,-0.214818,-1.467677,0.115287,0.002022,-0.020242,0.891869,0.003378,-0.162899,3.634055,-0.174920,-0.440358,-4.402761,-0.893123,2.994429,0.000337,-0.089192,0.000000,-0.017496,-0.357584,0.000000
0.320000,-3.287377,-0.214798,-1.467887,0.124388,0.002047,-0.021893,0.927989,0.001583,-0.167153,3.586120,-0.183013,-0.409516,-4.986239,-0.702511,3.162108,0.000158,-0.092745,0.000000,-0.018276,-0.352565,-0.000000
0.330000,-3.286087,-0.214777,-1.468115,0.133847,0.002054,-0.023585,0.963591,-0.000282,-0.171090,3.534331,-0.188971,-0.377116,-5.283855,-0.492480,3.308901,-0.000028,-0.096243,0.000000,-0.018843,-0.347219,-0.000000
0.340000,-3.284700,-0.214757,-1.468359,0.143660,0.002041,-0.025315,0.998675,-0.002196,-0.174695,3.480443,-0.192862,-0.343338,-5.666292,-0.292145,3.442458,-0.000219,-0.099689,0.000000,-0.019205,-0.341720,-0.000000
0.350000,-3.283213,-0.214736,-1.468621,0.153821,0.002010,-0.027079,1.033200,-0.004139,-0.177956,3.421005,-0.194814,-0.308266,-6.256725,-0.093520,3.568234,-0.000412,-0.103078,0.000000,-0.019374,-0.335728,-0.000000
0.360000,-3.281624,-0.214716,-1.468901,0.164324,0.001959,-0.028874,1.067095,-0.006092,-0.180861,3.355309,-0.194733,-0.271974,-6.783734,0.118960,3.679997,-0.000606,-0.106404,0.000000,-0.019343,-0.329175,0.000000
0.370000,-3.279927,-0.214697,-1.469198,0.175163,0.001888,-0.030696,1.100306,-0.008034,-0.183396,3.285330,-0.192434,-0.234666,-7.114363,0.343499,3.763277,-0.000799,-0.109662,0.000000,-0.019093,-0.322258,0.000000
0.380000,-3.278120,-0.214679,-1.469514,0.186330,0.001798,-0.032542,1.132802,-0.009941,-0.185554,3.213022,-0.187863,-0.196708,-7.338144,0.573551,3.818580,-0.000988,-0.112849,0.000000,-0.018620,-0.315167,-0.000000
0.390000,-3.276200,-0.214661,-1.469849,0.197819,0.001689,-0.034407,1.164567,-0.011791,-0.187330,3.138567,-0.180963,-0.158295,-7.611717,0.810868,3.864899,-0.001172,-0.115965,0.000000,-0.017919,-0.307918,-0.000000
0.400000,-3.274164,-0.214645,-1.470203,0.209621,0.001562,-0.036289,1.195573,-0.013560,-0.188720,3.060787,-0.171645,-0.119410,-7.941928,1.055706,3.909487,-0.001347,-0.119008,0.000000,-0.016981,-0.300395,-0.000000
0.410000,-3.272008,-0.214630,-1.470575,0.221730,0.001418,-0.038182,1.225783,-0.015224,-0.189718,2.979729,-0.159849,-0.080105,-8.226192,1.305101,3.938810,-0.001511,-0.121973,0.000000,-0.015800,-0.292602,0.000000
0.420000,-3.269729,-0.214617,-1.470966,0.234137,0.001258,-0.040083,1.255168,-0.016757,-0.190322,2.896263,-0.145543,-0.040634,-8.443059,1.557527,3.934768,-0.001663,-0.124860,0.000000,-0.014374,-0.284623,0.000000
0.430000,-3.267325,-0.214605,-1.471377,0.246833,0.001083,-0.041988,1.283708,-0.018135,-0.190531,2.810867,-0.128699,-0.001410,-8.629043,1.812749,3.900621,-0.001799,-0.127666,0.000000,-0.012700,-0.276497,0.000000
0.440000,-3.264793,-0.214595,-1.471806,0.259811,0.000895,-0.043893,1.311385,-0.019331,-0.190350,2.723682,-0.109288,0.037378,-8.806405,2.070489,3.860252,-0.001917,-0.130390,0.000000,-0.010775,-0.268236,-0.000000
0.450000,-3.262129,-0.214587,-1.472254,0.273061,0.000696,-0.045795,1.338181,-0.020321,-0.189783,2.634739,-0.087289,0.075795,-8.970686,2.329904,3.821063,-0.002014,-0.133031,0.000000,-0.008597,-0.259840,-0.000000
0.460000,-3.259331,-0.214581,-1.472722,0.286575,0.000489,-0.047689,1.364080,-0.021077,-0.188834,2.544269,-0.062690,0.113800,-9.110288,2.589659,3.766769,-0.002089,-0.135587,0.000000,-0.006164,-0.251331,-0.000000
0.470000,-3.256397,-0.214577,-1.473208,0.300343,0.000275,-0.049572,1.389067,-0.021574,-0.187507,2.452534,-0.035496,0.151131,-9.232911,2.848461,3.679915,-0.002137,-0.138057,0.000000,-0.003477,-0.242728,0.000000
0.480000,-3.253325,-0.214576,-1.473713,0.314356,0.000057,-0.051439,1.413131,-0.021787,-0.185812,2.359611,-0.005721,0.187398,-9.344758,3.105373,3.565272,-0.002158,-0.140442,0.000000,-0.000536,-0.234032,-0.000000
0.490000,-3.250110,-0.214576,-1.474237,0.328605,-0.000161,-0.053288,1.436259,-0.021689,-0.183759,2.265638,0.026612,0.222436,-9.436878,3.360007,3.446198,-0.002148,-0.142738,0.000000,0.002657,-0.225251,0.000000
0.500000,-3.246752,-0.214579,-1.474779,0.343081,-0.000377,-0.055114,1.458443,-0.021255,-0.181363,2.170873,0.061479,0.256322,-9.506383,3.612610,3.329028,-0.002105,-0.144947,0.000000,0.006101,-0.216408,0.000000
0.510000,-3.243249,-0.214584,-1.475339,0.357774,-0.000586,-0.056915,1.479677,-0.020459,-0.178633,2.075511,0.098864,0.289017,-9.561724,3.861833,3.198443,-0.002026,-0.147067,0.000000,0.009794,-0.207519,-0.000000
0.520000,-3.239597,-0.214590,-1.475917,0.372675,-0.000786,-0.058687,1.499954,-0.019277,-0.175582,1.979639,0.138716,0.320291,-9.611760,4.103485,3.040569,-0.001909,-0.149097,0.000000,0.013733,-0.198587,-0.000000
0.530000,-3.235795,-0.214599,-1.476513,0.387773,-0.000972,-0.060427,1.519269,-0.017685,-0.172227,1.883276,0.180934,0.349828,-9.655553,4.336586,2.860537,-0.001751,-0.151038,0.000000,0.017908,-0.189604,0.000000
0.540000,-3.231841,-0.214610,-1.477126,0.403060,-0.001140,-0.062132,1.537619,-0.015659,-0.168586,1.786527,0.225448,0.377501,-9.684204,4.564783,2.677416,-0.001551,-0.152889,0.000000,0.022314,-0.180578,0.000000
0.550000,-3.227734,-0.214622,-1.477756,0.418526,-0.001285,-0.063799,1.555000,-0.013176,-0.164677,1.689591,0.272229,0.403376,-9.696373,4.788526,2.495760,-0.001305,-0.154650,0.000000,0.026948,-0.171524,0.000000
0.560000,-3.223471,-0.214636,-1.478402,0.434160,-0.001403,-0.065425,1.571411,-0.010214,-0.160518,1.592600,0.321218,0.427417,-9.699925,5.003818,2.303687,-0.001012,-0.156320,0.000000,0.031806,-0.162452,0.000000
0.570000,-3.219051,-0.214650,-1.479064,0.449954,-0.001489,-0.067009,1.586852,-0.006752,-0.156129,1.495593,0.372306,0.449450,-9.701767,5.206917,2.092489,-0.000669,-0.157899,0.000000,0.036879,-0.153360,0.000000
0.580000,-3.214472,-0.214665,-1.479742,0.465897,-0.001538,-0.068548,1.601323,-0.002768,-0.151529,1.398565,0.425357,0.469266,-9.700881,5.397858,1.866823,-0.000274,-0.159387,0.000000,0.042152,-0.144242,0.000000
