time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.744339,0.277088,-1.496610,-0.014666,-0.007838,0.004808,0.415463,-0.098727,0.058350,17.969371,-4.392992,1.981808,-257.392544,47.784795,-83.443305,-0.010115,-0.042579,0.000000,-0.451292,-1.847910,-0.000000
0.010000,-2.744485,0.277010,-1.496562,-0.010511,-0.008825,0.005391,0.595157,-0.142657,0.078168,15.395445,-3.915144,1.147374,-813.620707,175.286870,-165.511065,-0.014630,-0.061080,0.000000,-0.401775,-1.583087,0.000000
0.020000,-2.744549,0.276912,-1.496503,-0.002763,-0.010691,0.006371,0.723372,-0.177029,0.081298,1.696957,-0.887254,-1.328414,-1200.210869,267.116155,-189.203576,-0.018145,-0.074218,0.000000,-0.088221,-0.163345,-0.000000
0.030000,-2.744541,0.276796,-1.496435,0.003956,-0.012366,0.007017,0.629096,-0.160402,0.051600,-8.608772,1.427179,-2.636697,-438.127194,93.425184,-35.380208,-0.016402,-0.064378,0.000000,0.149393,0.895766,0.000000
0.040000,-2.744470,0.276665,-1.496362,0.009819,-0.013899,0.007403,0.551196,-0.148486,0.028564,-7.065587,0.981249,-2.036018,145.264636,-42.134395,53.940056,-0.015155,-0.056292,0.000000,0.102665,0.731669,0.000000
0.050000,-2.744344,0.276518,-1.496287,0.014980,-0.015336,0.007588,0.487784,-0.140777,0.010880,-5.703479,0.584492,-1.557896,127.927989,-37.355552,42.495238,-0.014347,-0.049737,0.000000,0.061422,0.588435,0.000000
0.060000,-2.744170,0.276358,-1.496211,0.019575,-0.016715,0.007620,0.437127,-0.136796,-0.002594,-4.507028,0.234138,-1.186113,112.097115,-32.850287,32.619491,-0.013926,-0.044518,0.000000,0.025228,0.463730,-0.000000
0.070000,-2.743953,0.276184,-1.496134,0.023723,-0.018072,0.007536,0.397644,-0.136094,-0.012843,-3.461537,-0.072514,-0.905506,97.699370,-28.612306,24.207369,-0.013843,-0.040459,0.000000,-0.006298,0.355512,-0.000000
0.080000,-2.743696,0.275996,-1.496060,0.027528,-0.019437,0.007364,0.367896,-0.138246,-0.020704,-2.553040,-0.338108,-0.701966,84.662100,-24.635315,17.153412,-0.014052,-0.037406,0.000000,-0.033497,0.261980,-0.000000
0.090000,-2.743402,0.275795,-1.495987,0.031081,-0.020836,0.007122,0.346583,-0.142856,-0.026882,-1.768295,-0.565220,-0.562438,72.912637,-20.913019,11.352159,-0.014512,-0.035218,0.000000,-0.056675,0.181532,-0.000000
0.100000,-2.743074,0.275580,-1.495917,0.034460,-0.022294,0.006826,0.332530,-0.149551,-0.031953,-1.094787,-0.756368,-0.474923,62.378308,-17.439123,6.698151,-0.015185,-0.033774,0.000000,-0.076115,0.112725,-0.000000
0.110000,-2.742713,0.275349,-1.495851,0.037731,-0.023827,0.006483,0.324687,-0.157983,-0.036380,-0.520729,-0.914003,-0.428475,52.986479,-14.207333,3.085943,-0.016035,-0.032963,0.000000,-0.092083,0.054254,0.000000
0.120000,-2.742320,0.275103,-1.495788,0.040953,-0.025453,0.006098,0.322116,-0.167831,-0.040523,-0.035058,-1.040515,-0.413204,44.664540,-11.211358,0.410084,-0.017027,-0.032689,0.000000,-0.104832,0.004925,-0.000000
0.130000,-2.741894,0.274840,-1.495729,0.044174,-0.027184,0.005673,0.323986,-0.178794,-0.044644,0.372562,-1.138230,-0.420273,37.339808,-8.444900,-1.434888,-0.018131,-0.032865,0.000000,-0.114607,-0.036358,-0.000000
0.140000,-2.741436,0.274559,-1.495674,0.047433,-0.029029,0.005205,0.329567,-0.190595,-0.048928,0.711738,-1.209413,-0.441901,30.939521,-5.901663,-2.554421,-0.019319,-0.033416,0.000000,-0.121646,-0.070602,-0.000000
0.150000,-2.740945,0.274260,-1.495625,0.050765,-0.030996,0.004694,0.338221,-0.202982,-0.053482,0.991352,-1.256263,-0.471362,25.391121,-3.575356,-3.053977,-0.020564,-0.034277,0.000000,-0.126184,-0.098732,0.000000
0.160000,-2.740421,0.273939,-1.495580,0.054197,-0.033089,0.004136,0.349394,-0.215721,-0.058355,1.219561,-1.280920,-0.502981,20.622076,-1.459686,-3.039010,-0.021843,-0.035391,0.000000,-0.128451,-0.121597,-0.000000
0.170000,-2.739861,0.273598,-1.495542,0.057753,-0.035310,0.003527,0.362612,-0.228600,-0.063542,1.403794,-1.285457,-0.532142,16.554851,0.449952,-2.631218,-0.023133,-0.036709,0.000000,-0.128670,-0.139972,0.000000
0.180000,-2.739266,0.273233,-1.495510,0.061450,-0.037661,0.002865,0.377470,-0.241430,-0.068998,1.550658,-1.271921,-0.555605,13.034372,2.130268,-2.220080,-0.024416,-0.038191,0.000000,-0.127063,-0.154544,0.000000
0.190000,-2.738632,0.272845,-1.495485,0.065302,-0.040139,0.002147,0.393625,-0.254039,-0.074654,1.664481,-1.242852,-0.576543,10.016578,3.597784,-1.812836,-0.025674,-0.039801,0.000000,-0.123887,-0.165750,-0.000000
0.200000,-2.737960,0.272430,-1.495467,0.069322,-0.042742,0.001372,0.410759,-0.266287,-0.080529,1.750989,-1.199965,-0.591862,8.036792,5.077093,0.580779,-0.026894,-0.041507,0.000000,-0.119329,-0.174188,-0.000000
0.210000,-2.737246,0.271990,-1.495457,0.073517,-0.045465,0.000537,0.428645,-0.278038,-0.086491,1.825217,-1.141310,-0.564928,6.957216,6.551097,4.630750,-0.028061,-0.043286,0.000000,-0.113304,-0.181546,0.000000
0.220000,-2.736489,0.271521,-1.495456,0.077895,-0.048302,-0.000358,0.447264,-0.289113,-0.091827,1.890134,-1.068943,-0.499247,4.958620,7.401456,4.222546,-0.029160,-0.045139,0.000000,-0.106035,-0.188146,0.000000
0.230000,-2.735688,0.271024,-1.495464,0.082463,-0.051247,-0.001300,0.466447,-0.299417,-0.096476,1.924389,-0.993281,-0.480477,1.881097,7.645681,-0.857487,-0.030182,-0.047050,0.000000,-0.098329,-0.191460,0.000000
0.240000,-2.734840,0.270496,-1.495482,0.087224,-0.054291,-0.002287,0.485752,-0.308979,-0.101437,1.927756,-0.916030,-0.516397,0.091636,8.151246,-2.372523,-0.031127,-0.048970,0.000000,-0.090309,-0.191392,0.000000
0.250000,-2.733944,0.269938,-1.495510,0.092178,-0.057427,-0.003329,0.505003,-0.317737,-0.106804,1.926222,-0.830256,-0.527927,0.182500,8.849302,0.443676,-0.031988,-0.050880,0.000000,-0.081516,-0.190934,0.000000
0.260000,-2.732997,0.269348,-1.495549,0.097324,-0.060646,-0.004424,0.524276,-0.325584,-0.111996,1.931406,-0.739043,-0.507523,0.430089,9.187044,1.947414,-0.032757,-0.052791,0.000000,-0.072296,-0.191319,-0.000000
0.270000,-2.731997,0.268725,-1.495599,0.102663,-0.063938,-0.005569,0.543631,-0.332518,-0.116955,1.934824,-0.646515,-0.488979,-0.541615,9.604045,1.618248,-0.033434,-0.054708,0.000000,-0.062961,-0.191527,0.000000
0.280000,-2.730943,0.268069,-1.495660,0.108197,-0.067296,-0.006763,0.562973,-0.338514,-0.121775,1.920573,-0.546963,-0.475158,-2.259921,10.340863,1.400942,-0.034016,-0.056623,0.000000,-0.052928,-0.189944,0.000000
0.290000,-2.729833,0.267379,-1.495734,0.113923,-0.070709,-0.008004,0.582042,-0.343458,-0.126458,1.889626,-0.439698,-0.460960,-3.065851,10.768420,1.472312,-0.034493,-0.058510,0.000000,-0.042147,-0.186701,-0.000000
0.300000,-2.728665,0.266655,-1.495820,0.119838,-0.074165,-0.009292,0.600765,-0.347308,-0.130994,1.859256,-0.331594,-0.445712,-2.696033,10.718866,1.577181,-0.034859,-0.060360,0.000000,-0.031307,-0.183537,-0.000000
0.310000,-2.727436,0.265896,-1.495920,0.125938,-0.077655,-0.010624,0.619227,-0.350089,-0.135372,1.835705,-0.225320,-0.429417,-2.318460,10.652248,1.663953,-0.035119,-0.062183,0.000000,-0.020673,-0.181076,-0.000000
0.320000,-2.726146,0.265102,-1.496033,0.132222,-0.081167,-0.011999,0.637479,-0.351814,-0.139583,1.812887,-0.118549,-0.412433,-2.659413,10.873885,1.714413,-0.035273,-0.063983,0.000000,-0.010011,-0.178706,-0.000000
0.330000,-2.724792,0.264272,-1.496160,0.138688,-0.084691,-0.013416,0.655485,-0.352460,-0.143621,1.782517,-0.007843,-0.395128,-3.379294,11.250785,1.740208,-0.035319,-0.065759,0.000000,0.001024,-0.175596,-0.000000
0.340000,-2.723372,0.263408,-1.496301,0.145332,-0.088216,-0.014872,0.673129,-0.351971,-0.147485,1.745301,0.106466,-0.377629,-3.625202,11.421664,1.763958,-0.035252,-0.067498,0.000000,0.012400,-0.171819,-0.000000
0.350000,-2.721885,0.262508,-1.496457,0.152150,-0.091730,-0.016365,0.690391,-0.350331,-0.151173,1.710013,0.220591,-0.359849,-3.277491,11.332881,1.790765,-0.035071,-0.069198,0.000000,0.023740,-0.168252,-0.000000
0.360000,-2.720329,0.261573,-1.496628,0.159140,-0.095223,-0.017895,0.707330,-0.347559,-0.154682,1.679751,0.333124,-0.341814,-2.932640,11.237479,1.805990,-0.034778,-0.070865,0.000000,0.034906,-0.165203,-0.000000
0.370000,-2.718703,0.260604,-1.496815,0.166297,-0.098682,-0.019459,0.723986,-0.343669,-0.158010,1.651360,0.445340,-0.323729,-2.956621,11.294413,1.796403,-0.034373,-0.072504,0.000000,0.046028,-0.162354,-0.000000
0.380000,-2.717003,0.259600,-1.497017,0.173619,-0.102096,-0.021055,0.740357,-0.338653,-0.161157,1.620619,0.559012,-0.305886,-3.175682,11.430161,1.766883,-0.033857,-0.074114,0.000000,0.057283,-0.159283,0.000000
