time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,0.171746,0.078137,0.982038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.868491
0.010000,0.171745,0.078139,0.982038,-0.000001,-0.000002,0.000000,-0.000731,-0.000659,0.000143,0.868495
0.020000,0.171744,0.078140,0.982038,-0.000033,-0.000024,0.000007,-0.005776,-0.003892,0.001227,0.868625
0.030000,0.171743,0.078142,0.982038,-0.000134,-0.000089,0.000029,-0.014435,-0.009377,0.003091,0.868856
0.040000,0.171742,0.078144,0.982038,-0.000338,-0.000219,0.000072,-0.026084,-0.016812,0.005594,0.869165
0.050000,0.171740,0.078145,0.982038,-0.000669,-0.000432,0.000143,-0.040169,-0.025915,0.008609,0.869534
0.060000,0.171725,0.078170,0.982039,-0.001152,-0.000743,0.000247,-0.056200,-0.036425,0.012024,0.869950
0.070000,0.171709,0.078194,0.982040,-0.001802,-0.001165,0.000386,-0.073741,-0.048101,0.015743,0.870402
0.080000,0.171693,0.078218,0.982040,-0.002634,-0.001709,0.000563,-0.092410,-0.060718,0.019678,0.870882
0.090000,0.171678,0.078243,0.982041,-0.003656,-0.002383,0.000780,-0.111871,-0.074070,0.023753,0.871384
0.100000,0.171662,0.078267,0.982042,-0.004875,-0.003194,0.001039,-0.131829,-0.087966,0.027902,0.871903
0.110000,0.171602,0.078359,0.982045,-0.006295,-0.004145,0.001339,-0.152025,-0.102233,0.032066,0.872437
0.120000,0.171541,0.078451,0.982048,-0.007917,-0.005240,0.001681,-0.172236,-0.116710,0.036196,0.872984
0.130000,0.171481,0.078543,0.982052,-0.009741,-0.006480,0.002063,-0.192268,-0.131251,0.040245,0.873542
0.140000,0.171421,0.078634,0.982055,-0.011763,-0.007866,0.002485,-0.211953,-0.145723,0.044177,0.874112
0.150000,0.171360,0.078726,0.982058,-0.013980,-0.009395,0.002946,-0.231148,-0.160004,0.047957,0.874693
0.160000,0.171240,0.078905,0.982065,-0.016386,-0.011066,0.003444,-0.249731,-0.173983,0.051557,0.875285
0.170000,0.171140,0.079055,0.982070,-0.018974,-0.012874,0.003977,-0.267599,-0.187560,0.054952,0.875888
0.180000,0.171030,0.079220,0.982076,-0.021736,-0.014816,0.004543,-0.284667,-0.200645,0.058122,0.876503
0.190000,0.170879,0.079443,0.982084,-0.024665,-0.016885,0.005139,-0.300863,-0.213156,0.061048,0.877129
0.200000,0.170658,0.079770,0.982096,-0.027751,-0.019077,0.005763,-0.316132,-0.225017,0.063715,0.877767
0.210000,0.170497,0.080005,0.982105,-0.030985,-0.021384,0.006412,-0.330427,-0.236163,0.066112,0.878417
0.220000,0.170275,0.080328,0.982117,-0.034357,-0.023798,0.007084,-0.343717,-0.246533,0.068229,0.879078
0.230000,0.170008,0.080718,0.982131,-0.037857,-0.026312,0.007776,-0.355978,-0.256071,0.070057,0.879750
0.240000,0.169710,0.081153,0.982147,-0.041473,-0.028917,0.008485,-0.367196,-0.264728,0.071592,0.880433
0.250000,0.169393,0.081612,0.982164,-0.045197,-0.031604,0.009207,-0.377363,-0.272460,0.072828,0.881127
0.260000,0.169059,0.082093,0.982181,-0.049018,-0.034363,0.009940,-0.386481,-0.279228,0.073764,0.881830
0.270000,0.168699,0.082611,0.982200,-0.052924,-0.037185,0.010681,-0.394555,-0.284997,0.074398,0.882543
0.280000,0.168312,0.083167,0.982219,-0.056906,-0.040060,0.011427,-0.401598,-0.289734,0.074730,0.883265
0.290000,0.167895,0.083765,0.982240,-0.060953,-0.042977,0.012175,-0.407626,-0.293412,0.074761,0.883995
